passenger_id,reservations,reservation_percent_rank
131,6,0
303,6,0
191,5,0.002105263157894737
300,5,0.002105263157894737
385,5,0.002105263157894737
395,5,0.002105263157894737
497,5,0.002105263157894737
650,5,0.002105263157894737
765,5,0.002105263157894737
927,5,0.002105263157894737
971,5,0.002105263157894737
1052,5,0.002105263157894737
1181,5,0.002105263157894737
1301,5,0.002105263157894737
1322,5,0.002105263157894737
1490,5,0.002105263157894737
31,4,0.016842105263157894
61,4,0.016842105263157894
109,4,0.016842105263157894
161,4,0.016842105263157894
172,4,0.016842105263157894
185,4,0.016842105263157894
259,4,0.016842105263157894
262,4,0.016842105263157894
287,4,0.016842105263157894
391,4,0.016842105263157894
398,4,0.016842105263157894
421,4,0.016842105263157894
507,4,0.016842105263157894
510,4,0.016842105263157894
567,4,0.016842105263157894
570,4,0.016842105263157894
624,4,0.016842105263157894
766,4,0.016842105263157894
846,4,0.016842105263157894
853,4,0.016842105263157894
879,4,0.016842105263157894
945,4,0.016842105263157894
1061,4,0.016842105263157894
1077,4,0.016842105263157894
1108,4,0.016842105263157894
1150,4,0.016842105263157894
1195,4,0.016842105263157894
1281,4,0.016842105263157894
1344,4,0.016842105263157894
1348,4,0.016842105263157894
1349,4,0.016842105263157894
1381,4,0.016842105263157894
1389,4,0.016842105263157894
7,3,0.05157894736842105
12,3,0.05157894736842105
14,3,0.05157894736842105
20,3,0.05157894736842105
22,3,0.05157894736842105
45,3,0.05157894736842105
72,3,0.05157894736842105
73,3,0.05157894736842105
82,3,0.05157894736842105
92,3,0.05157894736842105
94,3,0.05157894736842105
124,3,0.05157894736842105
135,3,0.05157894736842105
136,3,0.05157894736842105
150,3,0.05157894736842105
158,3,0.05157894736842105
174,3,0.05157894736842105
189,3,0.05157894736842105
208,3,0.05157894736842105
214,3,0.05157894736842105
216,3,0.05157894736842105
224,3,0.05157894736842105
236,3,0.05157894736842105
249,3,0.05157894736842105
253,3,0.05157894736842105
257,3,0.05157894736842105
271,3,0.05157894736842105
285,3,0.05157894736842105
292,3,0.05157894736842105
301,3,0.05157894736842105
304,3,0.05157894736842105
316,3,0.05157894736842105
322,3,0.05157894736842105
342,3,0.05157894736842105
359,3,0.05157894736842105
364,3,0.05157894736842105
366,3,0.05157894736842105
367,3,0.05157894736842105
372,3,0.05157894736842105
377,3,0.05157894736842105
409,3,0.05157894736842105
415,3,0.05157894736842105
425,3,0.05157894736842105
447,3,0.05157894736842105
452,3,0.05157894736842105
458,3,0.05157894736842105
475,3,0.05157894736842105
477,3,0.05157894736842105
512,3,0.05157894736842105
519,3,0.05157894736842105
532,3,0.05157894736842105
536,3,0.05157894736842105
540,3,0.05157894736842105
542,3,0.05157894736842105
561,3,0.05157894736842105
606,3,0.05157894736842105
615,3,0.05157894736842105
625,3,0.05157894736842105
632,3,0.05157894736842105
640,3,0.05157894736842105
644,3,0.05157894736842105
647,3,0.05157894736842105
656,3,0.05157894736842105
679,3,0.05157894736842105
680,3,0.05157894736842105
688,3,0.05157894736842105
696,3,0.05157894736842105
700,3,0.05157894736842105
703,3,0.05157894736842105
713,3,0.05157894736842105
720,3,0.05157894736842105
732,3,0.05157894736842105
741,3,0.05157894736842105
759,3,0.05157894736842105
763,3,0.05157894736842105
774,3,0.05157894736842105
787,3,0.05157894736842105
797,3,0.05157894736842105
805,3,0.05157894736842105
809,3,0.05157894736842105
816,3,0.05157894736842105
821,3,0.05157894736842105
828,3,0.05157894736842105
837,3,0.05157894736842105
844,3,0.05157894736842105
845,3,0.05157894736842105
849,3,0.05157894736842105
852,3,0.05157894736842105
868,3,0.05157894736842105
878,3,0.05157894736842105
881,3,0.05157894736842105
908,3,0.05157894736842105
928,3,0.05157894736842105
981,3,0.05157894736842105
1011,3,0.05157894736842105
1019,3,0.05157894736842105
1021,3,0.05157894736842105
1029,3,0.05157894736842105
1040,3,0.05157894736842105
1047,3,0.05157894736842105
1058,3,0.05157894736842105
1073,3,0.05157894736842105
1097,3,0.05157894736842105
1120,3,0.05157894736842105
1131,3,0.05157894736842105
1136,3,0.05157894736842105
1155,3,0.05157894736842105
1165,3,0.05157894736842105
1172,3,0.05157894736842105
1173,3,0.05157894736842105
1175,3,0.05157894736842105
1180,3,0.05157894736842105
1185,3,0.05157894736842105
1188,3,0.05157894736842105
1196,3,0.05157894736842105
1197,3,0.05157894736842105
1208,3,0.05157894736842105
1228,3,0.05157894736842105
1245,3,0.05157894736842105
1267,3,0.05157894736842105
1289,3,0.05157894736842105
1305,3,0.05157894736842105
1315,3,0.05157894736842105
1325,3,0.05157894736842105
1329,3,0.05157894736842105
1332,3,0.05157894736842105
1339,3,0.05157894736842105
1379,3,0.05157894736842105
1387,3,0.05157894736842105
1392,3,0.05157894736842105
1394,3,0.05157894736842105
1398,3,0.05157894736842105
1415,3,0.05157894736842105
1421,3,0.05157894736842105
1425,3,0.05157894736842105
1444,3,0.05157894736842105
1455,3,0.05157894736842105
1461,3,0.05157894736842105
1464,3,0.05157894736842105
1466,3,0.05157894736842105
1475,3,0.05157894736842105
5,2,0.2
8,2,0.2
9,2,0.2
10,2,0.2
11,2,0.2
15,2,0.2
34,2,0.2
36,2,0.2
38,2,0.2
53,2,0.2
55,2,0.2
59,2,0.2
62,2,0.2
65,2,0.2
69,2,0.2
76,2,0.2
86,2,0.2
88,2,0.2
102,2,0.2
111,2,0.2
114,2,0.2
115,2,0.2
116,2,0.2
118,2,0.2
119,2,0.2
132,2,0.2
138,2,0.2
139,2,0.2
140,2,0.2
142,2,0.2
143,2,0.2
145,2,0.2
146,2,0.2
164,2,0.2
167,2,0.2
168,2,0.2
171,2,0.2
173,2,0.2
187,2,0.2
198,2,0.2
204,2,0.2
205,2,0.2
206,2,0.2
213,2,0.2
215,2,0.2
217,2,0.2
218,2,0.2
227,2,0.2
233,2,0.2
240,2,0.2
248,2,0.2
258,2,0.2
261,2,0.2
266,2,0.2
268,2,0.2
277,2,0.2
286,2,0.2
297,2,0.2
299,2,0.2
309,2,0.2
324,2,0.2
328,2,0.2
330,2,0.2
334,2,0.2
335,2,0.2
345,2,0.2
347,2,0.2
349,2,0.2
356,2,0.2
363,2,0.2
375,2,0.2
376,2,0.2
389,2,0.2
394,2,0.2
397,2,0.2
408,2,0.2
416,2,0.2
418,2,0.2
422,2,0.2
432,2,0.2
443,2,0.2
450,2,0.2
455,2,0.2
460,2,0.2
461,2,0.2
462,2,0.2
467,2,0.2
480,2,0.2
483,2,0.2
484,2,0.2
489,2,0.2
493,2,0.2
496,2,0.2
498,2,0.2
504,2,0.2
513,2,0.2
517,2,0.2
529,2,0.2
535,2,0.2
543,2,0.2
544,2,0.2
558,2,0.2
562,2,0.2
563,2,0.2
565,2,0.2
566,2,0.2
569,2,0.2
575,2,0.2
578,2,0.2
579,2,0.2
580,2,0.2
581,2,0.2
584,2,0.2
591,2,0.2
603,2,0.2
604,2,0.2
605,2,0.2
619,2,0.2
621,2,0.2
631,2,0.2
642,2,0.2
649,2,0.2
651,2,0.2
653,2,0.2
661,2,0.2
663,2,0.2
666,2,0.2
670,2,0.2
683,2,0.2
687,2,0.2
694,2,0.2
697,2,0.2
706,2,0.2
707,2,0.2
708,2,0.2
712,2,0.2
717,2,0.2
718,2,0.2
721,2,0.2
722,2,0.2
723,2,0.2
725,2,0.2
731,2,0.2
734,2,0.2
737,2,0.2
740,2,0.2
743,2,0.2
744,2,0.2
748,2,0.2
756,2,0.2
771,2,0.2
780,2,0.2
781,2,0.2
784,2,0.2
785,2,0.2
801,2,0.2
808,2,0.2
810,2,0.2
811,2,0.2
812,2,0.2
817,2,0.2
820,2,0.2
827,2,0.2
840,2,0.2
848,2,0.2
850,2,0.2
851,2,0.2
854,2,0.2
860,2,0.2
866,2,0.2
871,2,0.2
873,2,0.2
876,2,0.2
882,2,0.2
885,2,0.2
890,2,0.2
896,2,0.2
897,2,0.2
900,2,0.2
903,2,0.2
905,2,0.2
912,2,0.2
920,2,0.2
921,2,0.2
922,2,0.2
923,2,0.2
929,2,0.2
930,2,0.2
934,2,0.2
935,2,0.2
937,2,0.2
939,2,0.2
940,2,0.2
948,2,0.2
954,2,0.2
960,2,0.2
961,2,0.2
970,2,0.2
973,2,0.2
983,2,0.2
985,2,0.2
989,2,0.2
991,2,0.2
994,2,0.2
997,2,0.2
1001,2,0.2
1002,2,0.2
1003,2,0.2
1007,2,0.2
1009,2,0.2
1012,2,0.2
1020,2,0.2
1022,2,0.2
1026,2,0.2
1028,2,0.2
1031,2,0.2
1032,2,0.2
1048,2,0.2
1050,2,0.2
1055,2,0.2
1063,2,0.2
1064,2,0.2
1068,2,0.2
1070,2,0.2
1074,2,0.2
1087,2,0.2
1096,2,0.2
1099,2,0.2
1100,2,0.2
1104,2,0.2
1109,2,0.2
1118,2,0.2
1121,2,0.2
1125,2,0.2
1127,2,0.2
1130,2,0.2
1133,2,0.2
1143,2,0.2
1145,2,0.2
1146,2,0.2
1149,2,0.2
1153,2,0.2
1156,2,0.2
1162,2,0.2
1163,2,0.2
1171,2,0.2
1176,2,0.2
1183,2,0.2
1187,2,0.2
1199,2,0.2
1201,2,0.2
1202,2,0.2
1207,2,0.2
1210,2,0.2
1211,2,0.2
1213,2,0.2
1221,2,0.2
1223,2,0.2
1225,2,0.2
1233,2,0.2
1234,2,0.2
1239,2,0.2
1247,2,0.2
1249,2,0.2
1254,2,0.2
1257,2,0.2
1258,2,0.2
1260,2,0.2
1263,2,0.2
1266,2,0.2
1271,2,0.2
1272,2,0.2
1278,2,0.2
1280,2,0.2
1283,2,0.2
1299,2,0.2
1303,2,0.2
1306,2,0.2
1308,2,0.2
1321,2,0.2
1323,2,0.2
1326,2,0.2
1330,2,0.2
1331,2,0.2
1335,2,0.2
1338,2,0.2
1340,2,0.2
1345,2,0.2
1353,2,0.2
1361,2,0.2
1363,2,0.2
1365,2,0.2
1367,2,0.2
1373,2,0.2
1375,2,0.2
1390,2,0.2
1395,2,0.2
1399,2,0.2
1400,2,0.2
1403,2,0.2
1408,2,0.2
1414,2,0.2
1422,2,0.2
1427,2,0.2
1428,2,0.2
1431,2,0.2
1435,2,0.2
1437,2,0.2
1440,2,0.2
1443,2,0.2
1457,2,0.2
1462,2,0.2
1476,2,0.2
1477,2,0.2
1482,2,0.2
1484,2,0.2
1485,2,0.2
1486,2,0.2
1493,2,0.2
1498,2,0.2
6,1,0.5368421052631579
16,1,0.5368421052631579
18,1,0.5368421052631579
19,1,0.5368421052631579
21,1,0.5368421052631579
23,1,0.5368421052631579
24,1,0.5368421052631579
25,1,0.5368421052631579
28,1,0.5368421052631579
29,1,0.5368421052631579
30,1,0.5368421052631579
35,1,0.5368421052631579
39,1,0.5368421052631579
47,1,0.5368421052631579
48,1,0.5368421052631579
50,1,0.5368421052631579
52,1,0.5368421052631579
54,1,0.5368421052631579
57,1,0.5368421052631579
58,1,0.5368421052631579
60,1,0.5368421052631579
66,1,0.5368421052631579
67,1,0.5368421052631579
71,1,0.5368421052631579
77,1,0.5368421052631579
78,1,0.5368421052631579
80,1,0.5368421052631579
81,1,0.5368421052631579
84,1,0.5368421052631579
85,1,0.5368421052631579
87,1,0.5368421052631579
90,1,0.5368421052631579
91,1,0.5368421052631579
93,1,0.5368421052631579
95,1,0.5368421052631579
98,1,0.5368421052631579
99,1,0.5368421052631579
100,1,0.5368421052631579
101,1,0.5368421052631579
104,1,0.5368421052631579
105,1,0.5368421052631579
107,1,0.5368421052631579
108,1,0.5368421052631579
121,1,0.5368421052631579
123,1,0.5368421052631579
128,1,0.5368421052631579
144,1,0.5368421052631579
151,1,0.5368421052631579
157,1,0.5368421052631579
160,1,0.5368421052631579
162,1,0.5368421052631579
165,1,0.5368421052631579
169,1,0.5368421052631579
175,1,0.5368421052631579
179,1,0.5368421052631579
180,1,0.5368421052631579
192,1,0.5368421052631579
194,1,0.5368421052631579
